TaskNo.	Using Tdma	SendTime	ReceiveTime	SourceIP	OffLoadingIP	Length	Rtt	isLoad	exceed
0	1	1011	1030	10.1.2.2	10.1.5.1	6	19	0	0
1	1	2010	2024	10.1.2.2	10.1.3.1	6	14	0	0
2	1	3018	3032	10.1.2.2	10.1.3.1	6	14	0	0
3	1	4232	4343	10.1.2.2	10.1.3.1	6	111	0	0
4	1	5072	5182	10.1.2.2	10.1.1.1	6	110	0	0
5	1	6013	6027	10.1.2.2	10.1.3.1	6	14	0	0
6	1	7011	7026	10.1.2.2	10.1.3.1	6	15	0	0
7	1	8178	8509	10.1.2.2	10.1.3.1	6	331	0	0
8	1	9008	9022	10.1.2.2	10.1.3.1	6	14	0	0
10	0	11474	12069	10.1.1.2	10.1.3.1	6	595	0	0
11	0	12658	13053	10.1.1.2	10.1.3.1	6	395	0	0
12	0	13439	13675	10.1.1.2	10.1.3.1	6	236	0	0
13	0	14377	14824	10.1.1.2	10.1.3.1	6	447	0	0
14	0	15293	15636	10.1.1.2	10.1.3.1	6	343	0	0
15	1	16079	16122	10.1.2.2	10.1.3.1	6	43	0	0
16	1	17010	17019	10.1.2.2	10.1.3.1	6	9	0	0
17	1	18008	18023	10.1.2.2	10.1.3.1	6	15	0	0
18	1	19011	19030	10.1.2.2	10.1.3.1	6	19	0	0
19	1	20024	20038	10.1.2.2	10.1.3.1	6	14	0	0
22	0	23337	23631	10.1.1.2	10.1.3.1	6	294	0	0
23	0	24502	24839	10.1.1.2	10.1.1.1	6	337	0	0
24	0	25207	25266	10.1.1.2	10.1.3.1	6	59	0	0
25	0	26613	27092	10.1.1.2	10.1.3.1	6	479	0	0
27	0	28627	29060	10.1.1.2	10.1.3.1	6	433	0	0
28	0	29477	30065	10.1.1.2	10.1.1.1	6	588	0	0
48	0	49449	49950	10.1.1.2	10.1.3.1	6	501	0	0
50	1	51008	51022	10.1.2.2	10.1.3.1	6	14	0	0
51	1	52007	52021	10.1.2.2	10.1.3.1	6	14	0	0
52	1	53005	53015	10.1.2.2	10.1.3.1	6	10	0	0
53	1	54008	54022	10.1.2.2	10.1.3.1	6	14	0	0
54	1	55011	55026	10.1.2.2	10.1.3.1	6	15	0	0
55	1	56015	56029	10.1.2.2	10.1.3.1	6	14	0	0
57	1	58491	59000	10.1.2.2	10.1.3.1	6	509	0	0
61	1	62494	63008	10.1.2.2	10.1.3.1	6	514	0	0
62	1	63426	63728	10.1.2.2	10.1.1.1	6	302	0	0
63	1	64314	64616	10.1.2.2	10.1.1.1	6	302	0	0
64	0	65216	65480	10.1.2.2	10.1.5.1	6	264	0	0
68	0	69527	70027	10.1.1.2	10.1.1.1	6	500	0	0
85	1	86308	86610	10.1.2.2	10.1.3.1	6	302	0	0
86	1	87469	87973	10.1.2.2	10.1.1.1	6	504	0	0
89	0	90502	91002	10.1.2.2	10.1.1.1	6	500	0	0
97	0	98524	99010	10.1.1.2	10.1.1.1	6	486	0	0
115	0	116499	116997	10.1.1.2	10.1.1.1	6	498	0	0
123	0	124536	125052	10.1.1.2	10.1.1.1	6	516	0	0
127	0	128641	128978	10.1.1.2	10.1.1.1	6	337	0	0
128	0	129219	129263	10.1.1.2	10.1.1.1	6	44	0	0
129	0	130059	130151	10.1.1.2	10.1.1.1	6	92	0	0
135	0	136522	137049	10.1.1.2	10.1.5.1	6	527	0	0
137	0	138528	139063	10.1.1.2	10.1.1.1	6	535	0	0
139	0	140569	141071	10.1.1.2	10.1.1.1	6	502	0	0
141	0	142521	143214	10.1.1.2	10.1.1.1	6	693	0	0
142	0	143672	143848	10.1.1.2	10.1.1.1	6	176	0	0
143	0	144035	144052	10.1.1.2	10.1.1.1	6	17	0	0
151	0	152502	153000	10.1.1.2	10.1.1.1	6	498	0	0
164	0	165503	166138	10.1.1.2	10.1.1.1	6	635	0	0
166	0	167495	168010	10.1.1.2	10.1.1.1	6	515	0	0
170	0	171717	172155	10.1.1.2	10.1.1.1	6	438	0	0
171	0	172612	173111	10.1.1.2	10.1.1.1	6	499	0	0
185	1	186354	186718	10.1.2.2	10.1.1.1	6	364	0	0
186	1	187275	187338	10.1.2.2	10.1.1.1	6	63	0	0
187	1	188010	188014	10.1.2.2	10.1.1.1	6	4	0	0
188	1	189224	189455	10.1.2.2	10.1.1.1	6	231	0	0
189	1	190122	190155	10.1.2.2	10.1.1.1	6	33	0	0
190	1	191029	191048	10.1.2.2	10.1.1.1	6	19	0	0
191	1	192023	192147	10.1.2.2	10.1.1.1	6	124	0	0
192	1	193011	193026	10.1.2.2	10.1.1.1	6	15	0	0
193	1	194182	194326	10.1.2.2	10.1.1.1	6	144	0	0
194	1	195032	195070	10.1.2.2	10.1.1.1	6	38	0	0
195	1	196011	196054	10.1.2.2	10.1.1.1	6	43	0	0
196	1	197005	197010	10.1.2.2	10.1.1.1	6	5	0	0
197	1	198008	198051	10.1.2.2	10.1.1.1	6	43	0	0
198	1	199030	199064	10.1.2.2	10.1.1.1	6	34	0	0
199	1	200014	200024	10.1.2.2	10.1.1.1	6	10	0	0
200	1	201008	201013	10.1.2.2	10.1.1.1	6	5	0	0
201	1	202007	202011	10.1.2.2	10.1.1.1	6	4	0	0
202	1	203010	203014	10.1.2.2	10.1.1.1	6	4	0	0
203	1	204008	204013	10.1.2.2	10.1.1.1	6	5	0	0
204	1	205035	205040	10.1.2.2	10.1.1.1	6	5	0	0
205	1	206010	206019	10.1.2.2	10.1.3.1	6	9	0	0
206	1	207008	207013	10.1.2.2	10.1.1.1	6	5	0	0
207	1	208011	208026	10.1.2.2	10.1.5.1	6	15	0	0
