TaskNo.	Using Tdma	SendTime	ReceiveTime	SourceIP	OffLoadingIP	Length	Rtt	isLoad	exceed
0	0	1005	1009	10.1.1.2	10.1.1.1	6	4	0	0
1	0	2013	2022	10.1.1.2	10.1.1.1	6	9	0	0
2	0	3032	3046	10.1.1.2	10.1.3.1	6	14	0	0
3	0	4167	4236	10.1.1.2	10.1.1.1	6	69	0	0
4	0	5199	5402	10.1.1.2	10.1.5.1	6	203	0	0
5	0	6203	6488	10.1.1.2	10.1.1.1	6	285	0	0
6	0	7249	7634	10.1.1.2	10.1.5.1	6	385	0	0
7	0	8372	8997	10.1.1.2	10.1.1.1	6	625	0	0
8	0	9492	10076	10.1.1.2	10.1.1.1	6	584	0	0
11	1	12013	12027	10.1.2.2	10.1.5.1	6	14	0	0
12	1	13011	13016	10.1.2.2	10.1.1.1	6	5	0	0
13	1	14010	14024	10.1.2.2	10.1.3.1	6	14	0	0
14	1	15008	15032	10.1.2.2	10.1.3.1	6	24	0	0
15	1	16006	16021	10.1.2.2	10.1.5.1	6	15	0	0
16	1	17005	17014	10.1.2.2	10.1.5.1	6	9	0	0
17	1	18008	18013	10.1.2.2	10.1.1.1	6	5	0	0
18	1	19011	19016	10.1.2.2	10.1.1.1	6	5	0	0
19	1	20014	20024	10.1.2.2	10.1.1.1	6	10	0	0
20	1	21090	21138	10.1.2.2	10.1.5.1	6	48	0	0
21	1	22045	22055	10.1.2.2	10.1.1.1	6	10	0	0
22	1	23058	23091	10.1.2.2	10.1.5.1	6	33	0	0
23	1	24085	24123	10.1.2.2	10.1.3.1	6	38	0	0
24	1	25107	25251	10.1.2.2	10.1.3.1	6	144	0	0
37	0	38591	39399	10.1.1.2	10.1.5.1	6	808	0	0
38	0	39640	40273	10.1.1.2	10.1.5.1	6	633	0	0
40	0	41433	41747	10.1.1.2	10.1.3.1	6	314	0	0
41	0	42176	42437	10.1.1.2	10.1.5.1	6	261	0	0
44	0	45900	46644	10.1.1.2	10.1.5.1	6	744	0	0
45	0	46711	47416	10.1.1.2	10.1.3.1	6	705	0	0
46	0	47636	48006	10.1.1.2	10.1.1.1	6	370	0	0
